# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Nov  4 14:52:22 2023
#
# User preference: *
#
# CONSTRAINT:  order by pl_name desc
#
# COLUMN pl_name:        Planet Name
# COLUMN disc_year:      Discovery Year
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,disc_year,pl_radj,pl_bmassj,pl_orbeccen,pl_eqt,sy_dist
xi Aql b,2007,,2.02000,,,56.1858000
xi Aql b,2007,,2.80000,0.000000,,56.1858000
xi Aql b,2007,,1.94100,0.059000,,56.1858000
ups Leo b,2021,,0.51000,0.320000,,52.5973000
ups And d,1999,,4.10000,0.294000,,13.4054000
ups And d,1999,,10.25000,0.316000,,13.4054000
ups And d,1999,,4.13000,0.267000,,13.4054000
ups And d,1999,,4.13200,0.298700,,13.4054000
ups And d,1999,,3.95000,0.242000,,13.4054000
ups And d,1999,,3.95000,0.269000,,13.4054000
ups And c,1999,,13.98000,0.245000,,13.4054000
ups And c,1999,,2.25000,0.185000,,13.4054000
ups And c,1999,,1.98000,0.254000,,13.4054000
ups And c,1999,,1.96500,0.266000,,13.4054000
ups And c,1999,,1.98100,0.259600,,13.4054000
ups And c,1999,,1.92000,0.224000,,13.4054000
ups And b,1996,,0.68000,0.109000,,13.4054000
ups And b,1996,,0.75000,0.020000,,13.4054000
ups And b,1996,,0.67500,0.006900,,13.4054000
ups And b,1996,,0.69000,0.029000,,13.4054000
ups And b,1996,,0.68760,0.021500,,13.4054000
ups And b,1996,,0.69000,0.012000,,13.4054000
ups And b,1996,,0.67200,0.013000,,13.4054000
tau Gem b,2013,,20.60000,0.031000,,112.5370000
tau Gem b,2013,,18.10000,,,112.5370000
tau Cet h,2017,,0.00576,0.230000,,3.6030400
tau Cet g,2017,,0.00551,0.060000,,3.6030400
tau Cet f,2017,,0.01237,0.160000,,3.6030400
tau Cet e,2017,,0.01237,0.180000,,3.6030400
tau Boo b,1996,,4.32000,0.011000,,15.6521000
tau Boo b,1996,,4.30000,0.007400,,15.6521000
tau Boo b,1996,,4.13000,0.023000,,15.6521000
tau Boo b,1996,,5.95000,0.000000,,15.6521000
tau Boo b,1996,,3.87000,0.018000,,15.6521000
rho CrB e,2023,,0.01192,0.126000,,17.4671000
rho CrB d,2023,,0.06796,0.000000,,17.4671000
rho CrB c,2016,,0.08850,0.044000,,17.4671000
rho CrB c,2016,,0.07866,0.052000,448,17.4671000
rho CrB c,2016,,0.08873,0.096000,,17.4671000
rho CrB b,1997,,1.09300,0.038000,,17.4671000
rho CrB b,1997,,1.10000,0.028000,,17.4671000
rho CrB b,1997,,1.05700,0.035500,,17.4671000
rho CrB b,1997,,1.04490,0.037300,614,17.4671000
psi1 Dra B b,2015,,1.53000,0.400000,,22.7188000
pi Men d,2022,,0.04210,0.220000,,18.2702000
pi Men c,2018,0.184,0.01422,0.000000,1147,18.2702000
pi Men c,2018,0.178,,,1052,18.2702000
pi Men c,2018,,0.01142,0.000000,,18.2702000
pi Men c,2018,,0.01100,0.077000,,18.2702000
pi Men c,2018,0.182,0.01517,0.000000,1170,18.2702000
omi UMa b,2012,,4.10000,0.130000,,54.9149000
omi UMa b,2012,,3.65100,0.149000,,54.9149000
omi CrB b,2012,,1.12000,0.105000,,84.7883000
omi CrB b,2012,,1.50000,0.191000,,84.7883000
ome Ser b,2013,,0.73600,0.180000,,76.7556000
ome Ser b,2013,,1.70000,0.106000,,76.7556000
nu Oph c,2012,,27.00000,0.165000,,46.2107000
nu Oph c,2012,,24.66200,0.180000,,46.2107000
nu Oph c,2012,,23.69300,0.179000,,46.2107000
nu Oph b,2012,,22.20600,0.124000,,46.2107000
nu Oph b,2012,,21.54800,0.126000,,46.2107000
nu Oph b,2012,,24.00000,0.125600,,46.2107000
nu Oct A b,2016,,2.11000,0.086000,,21.1999000
nu Oct A b,2016,,2.40000,0.110000,,21.1999000
mu2 Sco b,2022,,14.40000,0.560000,,
mu Leo b,2014,,2.40000,0.090000,,32.6081000
kap CrB b,2007,,2.17000,0.125000,,30.0651000
kap CrB b,2007,,2.01000,0.123000,,30.0651000
kap CrB b,2007,,1.80000,0.146000,,30.0651000
kap CrB b,2007,,1.78000,0.059000,,30.0651000
kap CrB b,2007,,2.10000,0.125000,,30.0651000
kap CrB b,2007,,1.81100,0.167000,,30.0651000
kap CrB b,2007,,1.60000,0.073000,,30.0651000
kap CrB b,2007,,1.52200,0.040000,,30.0651000
kap CrB b,2007,,1.86000,0.073000,,30.0651000
kap CrB b,2007,,2.00000,0.044000,,30.0651000
kap CrB b,2007,,1.86000,0.146000,,30.0651000
kap And b,2012,,12.80000,,1680,50.0177000
kap And b,2012,,13.61600,,1900,50.0177000
iot Dra c,2022,,15.60000,0.455000,,31.3283200
iot Dra b,2002,,8.82000,0.712400,,31.3283200
iot Dra b,2002,,8.90000,0.700000,,31.3283200
iot Dra b,2002,,11.82000,0.701000,,31.3283200
iot Dra b,2002,,8.70000,0.713000,,31.3283200
gam1 Leo b,2009,,8.78000,0.144000,,39.8883000
gam Psc b,2021,,1.34000,0.204000,,41.3107000
gam Lib c,2018,,5.23100,0.065000,,47.4017000
gam Lib c,2018,,4.58000,0.057000,,47.4017000
gam Lib b,2018,,1.02000,0.210000,,47.4017000
gam Lib b,2018,,1.12600,0.160000,,47.4017000
gam Cep b,2003,,9.40000,0.080000,,14.1024000
gam Cep b,2003,,1.85000,0.049000,,14.1024000
gam Cep b,2003,,1.70000,0.120000,,14.1024000
eps Tau b,2006,,7.19000,0.076000,,47.5285200
eps Tau b,2006,,7.10000,,,47.5285200
eps Tau b,2006,,7.60000,0.151000,,47.5285200
